Description,Idx0,Idx1,Idx2,Idx3,Idx4,Idx5,Idx6,Idx7,Idx8,Idx9,Idx10,Idx11,Idx12,Idx13,Idx14,Idx15,Idx16,Idx17,Idx18,Idx19,Idx20,Idx21,Idx22,Idx23,Idx24,Idx25,Idx26,Idx27,Idx28,Idx29,Idx30,Idx31,Idx32,Idx33,Idx34,Idx35,Idx36,Idx37,Idx38,Idx39,Idx40,Idx41,Idx42,Idx43,Idx44,Idx45,Idx46,Idx47,Idx48,Idx49,Idx50,Idx51,Idx52,Idx53,Idx54,Idx55,Idx56,Idx57,Idx58,Idx59,Idx60,Idx61,Idx62,Idx63,Idx64,Idx65,Idx66,Idx67,Idx68,Idx69,Idx70,Idx71,Idx72,Idx73,Idx74,Idx75,Idx76,Idx77,Idx78,Idx79,Idx80,Idx81,Idx82,Idx83,Idx84,Idx85,Idx86,Idx87,Idx88,Idx89,Idx90,Idx91,Idx92,Idx93
"AA0405 [axon]",-67.69886012500001,11.826446812499853,-0.5157061875002,-21.34926868750017,5.440818187500099,-14.009765625,-81.66737237500001,-6.396294437499819,13.400229250000393,-20.392702312500205,12.068596125000113,12.514028000000053,-0.898162562500147,-23.30313249999972,-12.055469312500009,-7.200433062499997,4.563395375000255,-1.6775778124997487,-9.096021062499858,14.30601918750017,-28.689311999999973,-23.436761187499997,20.174107875000118,-21.959027375000005,-1.0992436249998718,2.7136734374998923,-67.56032937500004,66.9643179374998,-22.61344743749987,-1.1633608750003077,11.76171875,302.8727652499997,-58.616225374999885,1415.3914731875002,7.667305312500048,-6.513206999999966,-2.1602316250000513,5.180824437500178,-53.78302381249978,15.569222375000209,-40.20715925000013,540.7780041249998,-4.515393062499697,2.33980556250026,-21.354028312500304,-19.395750374999807,-3.4497686250001607,1.127228062499853,-13.34715418750011,-15.80703393749991,17.44132987499961,26.862153937499897,-1.5812112499997966,-27.999264999999923,-18.373786687500342,-42.00701174999995,966.7111658125004,0.572621750000053,12.96734675000016,16.223950750000313,16.194653874999858,-11.9873858750002,-0.5921089999997093,-9.320468062499913,15.574223562500265,27.36629693750001,-21.921415937500115,27.949341937499867,-215.09326850000025,966.43394975,-0.6944543125000564,-40.319971812499716,-15.767777687499802,10.241561249999904,4.258399562500017,1.1225723749998906,7.623321812499853,18.5011761249998,114.53557462499975,12.969926125000256,-12.09722956250016,-18.56891406249997,-3.917617437499757,-5.389885187499658,-9.761567000000014,-3.9677734375,6.99507900000026,-13.056370499999957,17.961022500000126,-89.43358443750003,8.971954624999853,-5.885315500000161,1033.5219889375003,-15.074887000000217
"AA0610 [axon]",-33.10655656250037,-19.90723324999999,-28.280091062500105,-19.84226281249994,-37.47370625000076,3.848970937499871,5.444636250000258,-13.976787187500122,87.58972025000003,-24.773685437499807,5.134089374999348,-29.321281187500063,17.02493906250038,-0.9073466874997393,-25.603147374999935,-8.971363812500385,-17.84415487500064,-2.2549873750003826,143.29240587500044,63.8291293125003,-12.026930999999422,-11.519395562499994,-47.493719000000056,-26.859126874999674,4.646506624999347,-1.0526743125001303,14.817683125000258,-9.668989812499603,29.88996212500024,-12.112807437500123,-10.959825249999994,373.39371368749926,-10.236132375000125,-25.343222812499334,46.60778006249984,264.48795187500036,-44.79469499999959,-27.44406456249999,-62.03563556249992,-7.935291062500255,-13.877117750000252,33.91280000000006,10.040399437500128,4.711177749999479,-29.98524481250024,-18.019635812500383,-37.51111593750011,13.266804000000775,6.205679749999945,-13.556685125000513,7.944996625000385,-4.208706312499999,11.550705624999864,-26.3585853124996,-10.465384312499737,-27.13409606249934,9.733262749999994,27.608247187499728,-41.14211199999954,-20.432781812500252,-14.235397062499942,5.986132374999215,14.110102437500245,-6.4915935624994745,-7.4224155624997366,22.86258943749999,10.937364312499994,5.45806787499987,-60.01744024999971,-17.75482943749921,-21.521415437499854,210.92191275000005,-7.9897983749997366,-25.935755999999856,16.412896875000115,24.286101687500377,-1.8019380000005185,-35.18544012500024,-2.1043943124996076,-13.127057687500383,288.6825158749998,-1.4836008749998655,1.9719199374994787,-11.608322812499864,2.8555888749997393,-31.753439125000114,-8.950916062500255,-3.0032299999993484,23.547362187499857,-4.204521999999997,-11.112927562499863,12.795026437500383,0.2368842500000028,157.37356393749997
"AA0174 [axon]",-12.482494750000114,-89.85130049999998,-67.08983799999987,3.542156250000062,-167.7184832500002,-230.3407904999999,-303.75028475,-2.643718750000062,-17.45505000000003,20.33958849999999,-22.361199999999826,-66.39133175000006,-37.77201349999996,25.405081249999967,24.313818250000168,25.09359474999974,-1.36804949999987,-93.62488949999988,-142.94302074999996,-15.233312000000296,188.7831645000001,-15.721031249999669,24.911168749999888,-6.836293750000095,470.8127732500002,-1.8099625000099877,-158.9241457500002,-225.0967732500003,-104.63701399999991,-37.742081750000125,-29.960681249999652,-120.78433324999969,-5.4258812499997475,-2.811231250000219,-29.38123799999994,-162.21670774999984,-134.05330725000022,-13.720931249999921,-14.895087500000045,-10.150262499999826,48.72331350000013,13.68932500000028,-106.33181975000025,-1.2430505000002086,50.252381250000326,-13.020950500000254,-69.24770824999996,-408.3137915000002,25.275718750000124,-58.882300000000214,-248.37758699999995,-217.9822280000003,-727.4048619999999,-69.50856974999988,-248.29532900000004,-52.34055050000006,-27.46149474999993,4.215556250000191,-3.9306000000001404,-165.12265200000002,8.298600000000079,-501.45718924999983,0.3064125000000786,-29.70763799999986,-60.37917474999995,-42.35723849999977,-10.475750000000062,-900.151312,-42.92212550000022,26.0795442499998,-21.310519749999912,-15.05078125,-27.74928749999981,-20.223568749999686,-114.63843325000016,-60.283476000000064,-71.23832600000014,-108.40127600000005,-30.151225500000237,-145.52864675,-107.09485200000017,-281.3390102499998,-334.35910349999995,7.850549000010233,-45.036625000000186,-24.2709504999998,-198.30325200000016,-202.59529874999998,-67.88448225000002,-23.494468750000124,-2.473112499999843,-144.16993374999993,-92.26795099999981,29.31209325000009
"AA0175 [axon]",-333.8472227500099,-235.7017342500003,-165.63228949998984,-80.63696350000009,-431.5510449999997,-159.92906549998997,18.982699499999853,-42.230312500010314,-16.09948125000028,-479.58356275000006,23.143363500000305,62.870226,-22.567063499999676,-167.4883649999997,3335.6316792499997,-532.6160767499996,-169.33196549999957,-18.895899999999983,-335.03339975000017,-1.4362312500097687,-24.50628850000021,-22.308337500000107,-6.767906250010128,5.476005250009621,-163.1238159999998,-32.39914425001007,-113.71655825000016,-17.126824999999826,-98.41826399999991,-8.370382250000148,-84.82431399999996,-55.162738499999705,-99.42115675000014,-582.4357767500001,-230.2322717500101,-92.65005199998996,-64.16202700001031,474.0183177499998,-63.199814999999944,-283.9290540000002,35.664163500000086,-4.417156250000062,-56.99390774998983,-189.86740550000968,-95.16582649999964,-278.73927275001006,9.345480749999751,-118.04813224999998,-508.32656275,-501.2744632499998,-15.578531750000366,-171.40547175000984,517.2035182499899,258.8353497500002,124.88133799998968,28.730669750010293,58.91654475000041,14.976207250000243,-63.02911350000022,-15.976663499999631,-12.28053749999981,-0.34288699999024175,15.310874999989665,-348.38136650000024,-19.94023849999985,-1.1154625000003762,-11.0703125,-1.3715500000002976,-243.74622899999986,22.89818224999999,25.761864499999774,-164.94276450001007,-56.53946349999978,22.008013499990284,-3.2313812500001404,-4.800425999990239,-53.268574000010176,-4.75618274999988,-69.97295725000004,-50.98675150000008,137.88543949999985,254.42327799999975,2.482649999989917,1469.98714375001,-800.7430254999999,-159.29584625000007,-15.255274999999983,-167.00161924999975,16.417613499989784,-1.3715499999998428,58.85409900000013,-18.833044750000226,-68.18835725000008,-1.5407875000000786
"AA0808 [axon]",15.686189937500103,-5.166960812500065,-6.444113749999815,516.5104530625001,8.797519500000135,2.8109402499999305,-3.130133937499977,19.549551125000107,-4.963000500000362,23.654704000000038,-8.290951874999791,5.089479312500316,8.456742875000145,-8.392733124999722,2.933799750000162,-29.707248562500354,-10.55295412500027,26.7700482500004,-9.647287312500339,-4.24454918750007,13.690162375,-3.386561312499907,16.692272937500093,-138.6607120624999,13.158406687499792,-2.1552111249998234,-6.870414437500131,30.215913999999884,25.724435749999884,46.163428312499946,-226.99218274999976,-3.7504870625002695,21.7861328125,9.281343687499884,-18.976703874999657,5.638671875,-32.1272665624997,-7.325746125000023,-11.801378187499722,35.841211250000015,13.56238281249989,-198.44299850000016,28.661981875000038,75.83738650000032,13.556215874999907,253.0705475625,2.8097125624999535,73.45633431250008,-18.404090875000293,128.98594118749998,44.158861375000015,-355.7288556875001,-19.141947374999745,-2.814420749999954,-1.5491116250000232,24.707911687499745,-4.900941437500023,-0.7652154375000464,7.796858812499977,-437.8097917500004,44.373044437500084,-35.94842956249977,9.840079687500292,-13.581951312500223,47.250264875000084,298.4623139999999,340.24189824999985,299.7135303750001,11.96017968749993,-246.79919068749996,-16.587417312499838,49.999462937500084,3.336630562499977,230.9080634375,0.3748739375000696,-126.32854343749977,5.999983812499977,35.02050537499963,-46.25445462499965,10.842031812499954,12.680883812499815,47.14100075000033,1.9314983750000465,0.7328314374999536,21.4947537500002,-10.127046812499884,-214.0047818124999,7.326281749999907,-18.502581437499884,2.266585374999977,23.35831849999977,11.753211749999991,-18.52768856249986,-13.286352562499815
"AA0389 [axon]",-165.16977275,-128.41245137499982,-103.7876271875,-660.5619118125,-55.13932381250015,22.315581437499986,7.741367500000251,124.4379385000002,-187.7172778124998,-67.88658625000016,16.35836025000026,-649.4905434374998,43.050344937500086,-125.91767618750009,-204.12517712499994,3.8432373124996957,-315.7339846250002,5.328987999999754,-113.43278250000003,-836.5994815624999,-54.63792856249984,-734.3101761875,-628.038167875,-690.4291861875004,-1543.0263453750001,-773.7729089374998,5.596756062499935,-24.289147500000126,-18.44676356250011,-65.71611549999989,21.13679893749986,2325.40919275,-255.89513637500022,-112.52955387500015,-669.3610635625,178.86856743750013,1454.6096526249999,68.65834175000009,-13.164379437499974,-28.064852250000058,252.9646003124999,-165.5906829999999,-102.03711068749999,27.87110918749977,-72.0292025624999,10.377190874999997,0.913360874999853,-224.41101606250004,-73.18002468750001,11.543950125000265,48.72040924999965,-1523.1967019374997,-717.2453020625003,125.18289825000011,61.88494724999964,6.513208000000304,-51.152444187499896,-9.80851737499961,811.9227324999993,-0.49086062500009575,603.2383600000003,2.7237511875000564,-1435.146109625,-172.80827362500077,593.3757768750002,-2.9371115000003556,-827.0186491874992,-808.4288230624998,-117.20209362500009,-16.11902706250021,51.53943306250039,-349.15560043750065,1.4802739999995538,1.102112374999706,33.32931075000033,-436.4960322500001,-50.2499438750001,-33.899897187499846,-102.28496281250045,5.439144812499762,-52.83658681249926,104.74246856250011,20.34032306249992,504.5444721875001,-20.036299000000326,3.092422124999757,13.610318187500525,-55.63369574999979,264.5013558750006,-40.301696875000744,-363.6232984999997,-346.669580625,17.15344350000032,702.2792380000001
"AA0768 [axon]",-54.03338906249974,-46.58338256249999,-18.90519349999977,17.04233699999986,13.356239312499838,-0.7751071249999768,-25.37862031250006,-81.1618985,-15.142922937499861,-24.14484368750027,-7.8597683749999305,63.7542020625001,-8.779123249999884,55.49029324999992,-0.5163180624999768,13.103183562500362,-96.13772037499984,-23.38175599999977,40.48454475000017,-15.21701662500027,-31.507275437500084,0.9019180000000233,-7.269657312500385,9.340063499999815,4.509591,-11.002330312500362,16.138292250000177,-32.5867855624997,-47.330862437499945,-3.6739865625004313,-30.839731437500177,-55.75050081249992,-54.53091549999999,6.237114874999861,-9.891270499999791,-17.775436750000154,14.562168937500246,-0.3367566249999072,0.8251801249998607,15.791392812499907,34.274727500000154,-1.3231009374999303,-30.99532074999979,24.58831393750006,-22.473961437499838,4.725838062499861,-3.1636367500000233,-9.13667018749993,19.771451999999954,-11.93425443749993,-56.65665468750012,3.7059286250000696,5.569587062499977,28.049992062500223,-15.589544062499954,-0.109375,7.286683625000023,7.282744999999977,-0.6997705624999071,-19.75861543750034,6.3851589999999305,-7.299205312500362,-11.683136625000316,652.4227861875002,-17.40664337499993,31.315569500000038,-146.05036293750027,-4.86731356249993,-2.9282700000003388,1.5031970000000001,48.86094606250026,-11.18816068749993,-62.581052250000084,0.7645061875000465,-39.473219374999644,-24.002954749999844,9.59192293749993,-23.892198500000177,-51.853639250000015,-18.476749875000223,-55.9193014374996,-3.25822106250007,7.133473187499931,-6.775074749999931,71.3472741874998,14.258299562499815,-32.94247406249997,-31.159712875000423,-21.320358625000154,-58.7657461875001,-29.564151000000038,-39.12302581249969,-2.918393500000093,-8.934380500000316
"AA0488 [axon]",5.214785249999977,-102.00003274999995,-828.43746775,12.492096749999746,84.32419824999988,-3.3398277500000404,377.88286125000013,377.96482025000023,-197.4608720000001,58.67563300000029,2.9725530000000617,124.3985052500002,5.437293499999669,399.14455675000045,-89.70682799999986,-26.402510999999777,-118.18750450000016,-52.60946324999986,-18.20308150000028,-174.90229499999987,47.41020600000002,-3.5001290000000154,2.2149452500002553,-15.687359750000269,-5.812509000000318,-87.34777525000027,-7.866950000000088,-35.68766624999989,-17.691368250000323,-108.50779224999997,-308.8318697499999,-459.1798222499997,-27.63306299999931,-300.5467762500002,-686.41405975,-125.26549875,27.308608999999706,123.64451550000013,31.402258000000074,16.757750249999845,-34.617276500000116,6.921986999999717,14.875077749999946,-82.19135224999991,-35.30073749999974,721.71083825,189.35948024999925,-8.456786499999907,67.48821674999999,63.69542249999995,-44.17966650000017,26.714626999999382,-7.734295250000287,7.31261749999976,9.902603499999714,-888.4568330000002,-133.5076402499999,142.05069224999988,-388.21476724999957,340.87506175,-18.835957999999664,-85.81268400000044,59.88290925000001,-248.09388324999964,62.28128149999975,-94.25775949999934,11.539002249999612,8.054569750000155,14.554565000000366,-688.1209415000003,-16.92582725000011,-123.09382025000014,-702.9335392499997,-51.492269500000475,1582.8908332499996,525.19953575,13.77739824999935,2.8474749999995765,-1461.25802475,5.394591000000219,64.61333100000047,8.906157000000348,219.8943250000002,5.046615749999546,-25.105716750000283,197.51181150000048,-1.4492287499997474,-584.87480375,5.718306249999841,0.6875825000006444,-6.339328250000108,92.50910449999992,-5.604841000000306,23.47662500000024
"AA0330 [axon]",18.191440250004007,7.722667249997016,11.457048000004079,-47.699232750003944,9.246061999998005,-6.242196500003047,-0.6133364999989226,1.417962250002006,-149.14451800000097,44.738282999999,63.81247750000398,-180.47259800000006,-17.343805249998923,-38.44141624999702,-350.01174724999896,-14.25780574999908,-507.859392999999,-63.96096625000098,-113.92185325000196,-275.2890410000041,-32.753910750004934,55.24215175000302,-22.367166249998945,-15.324246249999078,-10.968781250005009,6.917941749998022,-14.183589999999981,-56.50782850000303,-56.535149499998056,-122.3398452500029,81.66800049999983,91.62501499999985,-56.980538000000024,30.839887999999974,-205.26954324999997,-0.8594122499998775,32.78512825000007,-310.64460899999995,-473.27732475000107,-265.95313575,-41.71481425000002,39.42581249999989,-639.585898000002,-400.88675225,-519.1289300000019,-7.726533999999901,-536.3789867500021,-15.347599000000173,-187.02350174999992,-1216.417970249999,-1174.550864999998,-435.781242,-1013.441443500003,-699.499971750001,-56.78901225000004,308.7578357499999,-364.73447750000014,-302.460951,-496.26952875000006,-656.8320005,-599.6562630000001,-313.63672225000005,-634.5429119999999,13.695423749999918,-436.62882649999983,-317.76176250000003,-276.11333549999995,6.105450000000019,-632.6054652499997,160.2304250000002,-160.86330825000005,-1019.0820295000001,648.5312657499999,-12.675764750000326,432.0038284999996,-1203.3672202500002,-169.88017750000017,-475.99216224999986,-711.011759,-82.67582875000016,-29.87896950000004,12.593673000000308,-134.69524475000026,336.50389725000014,-315.9257870000001,208.9063107500001,-126.25776499999984,-227.95300899999984,-431.2460780000001,-134.91023074999976,10.144514249999702,16.300840000000335,10.124987000000147,63.800749249999626
"AA0443 [axon]",-16.078126750000138,17.298655499999995,5.487573000000111,-10.320314250000138,7.287998249999873,8.319604249999884,9.769710499999974,7.068893249999974,18.76527350000015,8.781962750000048,-4.268111999999974,-0.9069609999999102,-66.88069825000002,6.973368000000164,-1.6218037500000264,4.596592000000101,7.373580749999974,-8.371095500000138,1.2194610000001376,-10.218752750000021,3.032493499999873,-12.236863750000111,17.653058249999958,-12.721061250000048,-16.254620749999958,-39.37163424999994,15.37890974999982,-83.02381200000013,-47.37465550000002,-1.2194600000000264,0.0,13.896309999999858,12.8107265000001,4.596593000000212,-3.658380999999963,-8.99964675000001,19.311262750000196,4.450640750000048,4.346414500000037,-14.41335499999991,70.68716175000009,-8.938390249999884,-59.87536924999995,13.014563499999895,14.590558249999958,-2.438921000000164,-6.792260500000111,-10.904473999999936,-9.49574050000001,21.522022749999905,0.11328300000013769,-13.026459749999958,5.4859735,10.058950500000037,25.346598249999943,-19.491292749999957,-19.52894675000016,-66.14259274999995,-3.4232959999999366,-40.966983750000054,-9.430044250000037,-3.7553282499998204,-35.88104624999983,40.35867374999998,38.35015124999995,330.4457419999999,-13.518291249999947,10.579192749999947,-33.33931925000002,-92.23581725000008,6.454902000000175,-10.411223999999947,-6.394178000000011,-4.877842999999984,-0.3284799999998995,10.305221749999873,8.479938000000175,-14.655720999999858,25.03871274999983,-9.53480300000001,48.7372277500001,-101.50481775000003,-13.654832499999884,5.896308249999947,16.043505750000122,-29.096243250000043,16.82457824999983,12.986508750000212,-12.662289999999985,-92.20367974999999,1.17578125,-28.778414999999995,63.72977375000005,-201.98690450000004
